row,row_name,column,type,x_coord,y_coord,radius,halo_radius,spot_intensity,raw_int,note,RT
4,D,11,,1143,424,24,,0.020279153509657588,0.4386742511426036,Initial Detection,130.9958158995816
4,D,10,,1039,422,24,,0.016926401420099033,0.4322690954526027,Initial Detection,132.01004184100418
4,D,9,,934,421,24,,0.012788898907830911,0.43146680695755124,Initial Detection,133.02426778242676
4,D,8,,829,420,24,,0.011023362567966995,0.43036201624305415,Initial Detection,134.03849372384937
4,D,7,,727,419,23,,0.010874274911255734,0.43136541457092253,Initial Detection,135.05271966527198
4,D,6,,621,418,24,,0.012542832143130025,0.42959041637896095,Initial Detection,136.06694560669456
4,D,5,,519,416,23,,0.0164542309615826,0.4346425046671187,Initial Detection,137.08117154811714
4,D,4,,412,415,23,,0.019700929048017873,0.43451408459078006,Initial Detection,138.09539748953972
4,D,3,,307,413,24,,0.021464959518568923,0.43557689146088857,Initial Detection,139.10962343096233
4,D,2,,204,413,24,,0.021265740774399855,0.43658084810223713,Initial Detection,140.12384937238494
5,E,2,,202,535,24,,0.01822789628205318,0.4338254474511998,Initial Detection,141.13807531380752
5,E,3,,305,534,26,,0.014059404780504957,0.43210331074108177,Initial Detection,142.1523012552301
5,E,4,,410,536,25,,0.010191520131493914,0.4302370922609128,Initial Detection,143.1665271966527
5,E,5,,514,537,25,,0.006618822611294448,0.42928953137153897,Initial Detection,144.18075313807532
5,E,6,,619,540,26,,0.003739355753298536,0.4265696036593871,Initial Detection,145.1949790794979
5,E,7,,722,540,24,,0.0025901756266518408,0.4274422122118832,Initial Detection,146.20920502092048
5,E,8,,826,541,24,,0.0025928999714245433,0.4267276055195697,Initial Detection,147.2234309623431
5,E,9,,933,541,25,,0.003578651744466115,0.42764695780424505,Initial Detection,148.2376569037657
5,E,10,,1037,543,25,,0.006367296277376656,0.4274812861775315,Initial Detection,149.25188284518828
5,E,11,,1143,543,25,,0.010274654395748112,0.432095847097211,Initial Detection,150.26610878661086
5,E,12,,88,527,25,,0.011657936121603608,0.4605024699215081,Initial Detection,151.28033472803347
5,E,13,,192,526,24,,0.010993693403062499,0.45832593518122744,Initial Detection,152.29456066945608
5,E,14,,296,528,25,,0.01216069444342087,0.45889222252528017,Initial Detection,153.30878661087866
5,E,15,,400,528,25,,0.014521353317617777,0.4627956076815065,Initial Detection,154.32301255230124
5,E,16,,504,529,26,,0.014617554346513552,0.46081313511654076,Initial Detection,155.33723849372385
5,E,17,,608,530,25,,0.011876005851117026,0.46138335808305814,Initial Detection,156.35146443514645
5,E,18,,714,530,25,,0.0068778327412949355,0.4568516329767353,Initial Detection,157.36569037656903
5,E,19,,817,531,25,,0.002602511689296533,0.4545827398450365,Initial Detection,158.37991631799161
5,E,20,,922,532,25,,0.0008409473555298875,0.4546958814437677,Initial Detection,159.3941422594142
5,E,21,,1025,533,24,,0.0006486169353991081,0.4528699350058638,Initial Detection,160.4083682008368
6,F,21,,1025,652,25,,0.0017573487737880472,0.4546716368154682,Initial Detection,161.4225941422594
6,F,20,,921,652,25,,0.00411871180589126,0.4563728015678194,Initial Detection,162.436820083682
6,F,19,,816,651,25,,0.0068454500212521635,0.4576173591538626,Initial Detection,163.45104602510457
6,F,18,,712,650,25,,0.010001921857387162,0.4581931690759767,Initial Detection,164.46527196652718
6,F,17,,607,649,26,,0.014021693531896612,0.46133006071086574,Initial Detection,165.4794979079498
6,F,16,,503,648,25,,0.018168553076649552,0.4616783343940359,Initial Detection,166.49372384937237
6,F,15,,399,648,25,,0.019363062803325042,0.4674930044145428,Initial Detection,167.50794979079495
6,F,14,,294,648,25,,0.014983453873586655,0.4592962996636059,Initial Detection,168.52217573221756
6,F,13,,190,646,25,,0.010859721524748997,0.45819923023305154,Initial Detection,169.53640167364017
6,F,12,,86,646,24,,0.009122591186349602,0.45947675884216194,Initial Detection,170.55062761506275
6,F,11,,1142,663,25,,0.006216894659092656,0.42934610217090463,Initial Detection,171.56485355648533
6,F,10,,1036,663,25,,0.0024450129946385095,0.4247679081936743,Initial Detection,172.57907949790794
6,F,9,,932,661,25,,0.00045196245648424275,0.42515986301785025,Initial Detection,173.59330543933055
6,F,8,,827,661,26,,0.00004745489686670357,0.4246395001812959,Initial Detection,174.60753138075313
6,F,7,,722,658,25,,0.00016353875688384888,0.4247032558515422,Initial Detection,175.6217573221757
6,F,6,,618,658,25,,0.0007832071473430117,0.42448909496822956,Initial Detection,176.63598326359832
6,F,5,,513,657,25,,0.0017771727998072873,0.4274045115212496,Initial Detection,177.65020920502093
6,F,4,,408,656,25,,0.0031738770346797602,0.42647513410310045,Initial Detection,178.6644351464435
